Date,Store,Product,Category,Region,Season,Promo,Epidemic,Weather,Inventory,UnitsSold,UnitsOrdered,Price,Discount,CompPrice,Demand,InvGap,Stockout,Coverage
2022-01-01,S001,P0001,Electronics,North,Winter,0,0,Snowy,195,102,252,72.72,5,85.73,115,80,0,1.696
2022-01-02,S001,P0001,Electronics,North,Winter,0,0,Snowy,93,71,0,65.63,5,73.66,84,9,0,1.107
2022-01-03,S001,P0001,Electronics,North,Winter,1,0,Snowy,274,142,229,68.55,15,80.73,132,142,0,2.076
2022-01-04,S001,P0001,Electronics,North,Winter,0,0,Snowy,132,42,0,61.66,10,54.88,67,65,0,1.97
2022-01-05,S001,P0001,Electronics,North,Winter,1,0,Snowy,319,129,0,59.56,25,57.34,110,209,0,2.9
2022-01-06,S001,P0001,Electronics,North,Winter,0,0,Sunny,190,98,308,84.03,0,95.54,146,44,0,1.301
2022-01-07,S001,P0001,Electronics,North,Winter,0,0,Snowy,92,92,0,66.07,10,63.57,87,5,0,1.057
2022-01-08,S001,P0001,Electronics,North,Winter,1,0,Snowy,308,96,248,68.56,10,80.99,113,195,0,2.726
2022-01-09,S001,P0001,Electronics,North,Winter,0,0,Sunny,212,57,0,62.76,10,67.11,87,125,0,2.437
2022-01-10,S001,P0001,Electronics,North,Winter,0,0,Cloudy,403,88,0,68.99,5,81.14,99,304,0,4.071
2022-01-11,S001,P0001,Electronics,North,Winter,0,0,Cloudy,315,112,0,73.71,0,85.29,103,212,0,3.058
2022-01-12,S001,P0001,Electronics,North,Winter,0,0,Snowy,203,70,179,65.76,10,60.13,85,118,0,2.388
2022-01-13,S001,P0001,Electronics,North,Winter,1,0,Cloudy,133,80,0,54.01,20,61.35,77,56,0,1.727
2022-01-14,S001,P0001,Electronics,North,Winter,0,0,Sunny,232,52,0,58.29,5,61.97,52,180,0,4.462
2022-01-15,S001,P0001,Electronics,North,Winter,1,0,Sunny,180,126,287,81.93,10,95.61,175,5,0,1.029
2022-01-16,S001,P0001,Electronics,North,Winter,0,0,Cloudy,54,54,298,71.17,10,81.1,126,-72,1,0.429
2022-01-17,S001,P0001,Electronics,North,Winter,1,0,Sunny,287,73,0,61.85,20,61.83,102,185,0,2.814
2022-01-18,S001,P0001,Electronics,North,Winter,0,0,Cloudy,512,101,0,69.63,10,61.25,102,410,0,5.0
2022-01-19,S001,P0001,Electronics,North,Winter,0,0,Cloudy,411,103,0,70.59,10,83.08,123,288,0,3.341
2022-01-20,S001,P0001,Electronics,North,Winter,0,0,Snowy,308,20,0,49.47,10,58.54,25,283,0,5.0
2022-01-21,S001,P0001,Electronics,North,Winter,0,0,Sunny,288,92,0,66.74,10,63.13,90,198,0,3.2
2022-01-22,S001,P0001,Electronics,North,Winter,0,0,Sunny,196,87,181,77.18,0,74.8,102,94,0,1.922
2022-01-23,S001,P0001,Electronics,North,Winter,1,0,Snowy,109,109,276,70.74,15,65.08,126,-17,1,0.865
2022-01-24,S001,P0001,Electronics,North,Winter,1,0,Snowy,181,29,0,46.98,25,45.06,44,137,0,4.114
2022-01-25,S001,P0001,Electronics,North,Winter,0,0,Snowy,428,55,0,60.18,10,56.0,61,367,0,5.0
2022-01-26,S001,P0001,Electronics,North,Winter,1,0,Cloudy,373,147,331,68.86,25,61.97,160,213,0,2.331
2022-01-27,S001,P0001,Electronics,North,Winter,0,0,Cloudy,226,93,0,62.8,10,70.46,87,139,0,2.598
2022-01-28,S001,P0001,Electronics,North,Winter,1,0,Sunny,464,201,343,80.4,20,73.36,194,270,0,2.392
